"id","name","about"
"6815841748","Barack Obama","Dad, husband, former President, citizen."
"153080620724","Donald J. Trump","This is the official Facebook page for Donald J. Trump"
"537534316395916","Students for Trump","The student coalition behind President Donald J. Trump and Vice President Michael R. Pence."
"143928478973403","Red White Blue News","RWB News is a conservative blog started by a small group of FaceBook friends who were tired of watching mainstream networks bury the news Americans want beneath a pile of spin"
"69813760388","Sean Hannity","Sean Hannity hosts 'Hannity' on the Fox News Channel and 'The Sean Hannity Show,' the second most listened to radio talk show in America."
"5281959998","The New York Times","Welcome to The New York Times on Facebook - a hub for conversation about news and ideas. Like our page and connect with Times journalists and readers. "
"1574219909475663","High On Food","High on Food is a food blog maintained by Samvit Kher. \nWant to get high on food?"
